[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
achievement_ancient_monster|Slay an Ancient Monster!|Tapa muinainen hirviö!|Mate um Monstro Antigo!|Убейте древнего монстра!|擊敗一個古代怪物！|<サルカスターズコーヒークラブ>に入会します。|고대의 몬스터 처치!|Töte ein uraltes Monster!|Tuez un monstre antique !
achievement_coffee_club|Join <Sarcaster's Coffee Club>|Liity <Sarcasterin kahvikerho>|Participe do <Clube de Café do Sarcaster>|Присоединяйтесь к <Кофейному клубу Саркастера>|加入<Sarcaster的咖啡俱樂部>|シークレットシープレベルを見つけてください！|<사르캐스터의 커피 클럽> 가입|Trete <Sarcaster's Coffee Club> bei|Rejoignez le Club des adorateurs de café de Sarcaster
achievement_sheep_level|Find the Secret Sheep level!|Löydä salainen lammastaso!|Encontre o Nível Secreto da Ovelha!|Найдите овечий уровень!|找到秘密的綿羊關卡！|パズルを解きます|숨겨진 양 레벨 발견!|Finde das geheime Schaf-Level!|Trouvez le niveau secret des moutons !
achievement_solve_puzzle|Solve a Puzzle|Ratkaise pulma|Resolva um Quebra-cabeça|Решить головоломку|解開一個謎題|カオスタワーをクリア|퍼즐 해결|Löse ein Rätsel|Solutionner un casse-tête
achievement_chaos_tower|Clear Chaos Tower|Läpäise kaaostorni|Limpe uma Torre do Caos|Очистить Башню Хаоса|清除混沌塔|ラクール王を倒す|카오스 타워 클리어|Chaosturm räumen|Nettoyer la Tour du chaos
achievement_king_rakhul|Defeat King Rakhul|Surmaa kuningas Rakhul|Derrote o Rei Rakhul|Победить короля Рахула|擊敗拉胡爾國王|天使界に入る|라쿨 왕을 물리치세요|König Rakhul besiegen|Vainquez le Roi Rakhul
achievement_angelic_realm|Enter Angelic Realm|Astu enkelivaltakuntaan|Entre no Reino Angelical|Войдите в ангельское царство|進入天使領域|スン・リーを倒す|천사의 영역으로 들어가세요|Das Reich der Engel betreten|Entrez dans le Royaume angélique
achievement_sung_lee|Defeat Sung Lee|Surmaa Sung Lee|Derrote Sung Lee|Победить Сунг Ли|擊敗李晟|ヴァルキュリーを倒す|성 리를 물리치세요|Sung Lee besiegen|Vainquez Sung Lee
achievement_valhalla_valkyrie|Defeat Valkyrie|Surmaa Valkyrie|Derrote Valquíria|Победить Валькирию|擊敗女武神|ヨルムンガーを倒す|발키리를 물리치세요|Walküre besiegen|Vainquez la Valkyrie
achievement_valhalla_river|Defeat Jörmungar|Surmaa Jörmungar|Derrote Jörmungar|Победить Ёрмунгара|擊敗耶夢加德|堕落したオーディンを倒す|요르문가르를 물리치세요|Jörmungar besiegen|Vainquez Jörmungar
achievement_valhalla_odin|Defeat Corrupted Odin|Surmaa korruptoitunut Odin|Derrote Odin Corrompido|Победить оскверненного Одина|擊敗腐化奧丁|指輪を獲得する|부패한 오딘을 물리치세요|Den verdorbenen Odin besiegen|Vainquez Odin le corrompu
achievement_valhalla_ring|Acquire ring|Hanki sormus |Adquira o Anel|Получить кольцо|獲得彩虹橋戒指|実績|반지를 얻으세요|Ring erhalten|Mon Préccccieux !
achievements|Achievements|Saavutukset|Conquistas|Достижения|成就|武器タイプ|업적|Erfolge|Succès
weapon_type|Weapon Type|Asetyyppi|Tipo de Arma|Тип оружия|武器類型|剣|무기 종류|Waffentyp|Type d'arme
weapon_type_sword|Sword|Miekka|Espada|Меч|劍|短剣|검|Schwert|Épée
weapon_type_dagger|Dagger|Tikari|Adaga|Кинжал|匕首|メイス|단검|Dolch|Poignard
weapon_type_mace|Mace|Nuija|Maça|Булава|錘|斧|메이스|Streitkolben|Massue
weapon_type_axe|Axe|Kirves|Machado|Топор|斧|ポールアーム|도끼|Axt|Hache
weapon_type_polearm|Polearm|Polearm|Arma de haste|Древковое оружие|長柄武器|杖|장창|Stangenwaffe|Arme d'hast
weapon_type_staff|Staff|Henkilökunta|Cajado|Посох|權杖|杖|스테프|Stab|Bâton
weapon_type_cane|Cane|keppi|Bastão Mágico|Трость|手杖|スペルブレード|케인|Gehstock|Canne
weapon_type_spellblade|Spellblade|Taikamiekka|Lâmina Mágica|Магический клинок|魔法短剑|本|마법검|Zauberklinge|Magi’lame
weapon_type_book|Book|Kirja|Livro|Книга|書|杖|책|Buch|Livre
weapon_type_wand|Wand|Sauva|Varinha|Палочка|魔杖|投擲 |완드|Zauberstab|Baguette
weapon_type_throwing|Throwing|Heitettävä|Arremesso|Метательное|投擲武器|弓|투척|Wurf |Lancer
weapon_type_bow|Bow|Jousi|Arco|Лук|弓|クロー|활|Bogen|Arc
weapon_type_claw|Claw|Kynnet|Garra|Коготь|爪|銃|클로|Klaue|Griffe
weapon_type_gun|Gun|Ase|Arma de Fogo|Пистолет|槍|チェーンソー|총|Gewehr|Pistolet
weapon_type_chainsaw|Chainsaw|Moottorisaha|Motosserra|Бензопила|電鋸|フラスコ|전기톱|Kettensäge|Tronçonneuse
weapon_type_flask|Flask|Pullo|Frasco|Колба|燒瓶|Novelty|플라스크|Fläschchen|Flacon
weapon_type_universal|Novelty|Novelty|Fantasia|Новинка|新奇|追加ダメージ。|참신함|Novelty|Fantaisie
extra_damage|extra damage.|lisävahinkoa.|dano adicional|дополнительный урон.|額外傷害。|強化|추가 데미지.|Extra Schaden.|dégâts supplémentaires.
enhance|Enhance|Tehosta|Melhorar|Усиливать|強化|バックパック内|증가|Verbessern|Renforcer
loadout|Loadout|Varustus|Loadout|Выгрузка|裝備組合|保存バックパック内|로드아웃|Slot|Équipement
save_loadout|Save Loadout|Tallenna Varustus|Salvar Loadout|Сохранить загрузку|保存裝備組合|装備バックパック内|저장 로드아웃|Speichern Ausrüstung|Enregistrer l'équipement
load_loadout|Equip Loadout|Pue Varustus|Equipar Loadout|Экипировка|載入裝備組合||장비 로드아웃|Ausstatten Ausrüstung|Équiper équipement
remove_loadout|Remove from loadout|Poista varustuksista|Remover do loadout|Удалить из загрузки|從裝備組合中移除|アクティブ|로드아웃 삭제||Retirer de l'équipement
activate|Activate|Aktivoi|Ativar|Активировать|啟用|スピードボーナスを攻撃します。|활성|Aktivieren|Activer
attack_speed_bonus|attack speed bonus.|hyökkäysnopeutta.|bônus de velocidade de ataque|бонус к скорости атаки.|攻擊速度加成。|インパクトの追加ダメージ。|공격 속도 보너스.|Angriffsgeschwindigkeit Bonus.|de vitesse d'attaque.
extra_damage_on_impact|extra damage on impact.|lisävahinkoa törmätessä|dano adicional no impacto|дополнительный урон при ударе.|衝擊時的額外傷害。|増加|충돌에 추가 데미지.|zusätzlicher Schaden beim Aufprall.|dégâts supplémentaires à l'impact.
increased|increased|lisätty|aumentado|повысился|增加|アグロの秒。|증가|gestiegene|augmenté
seconds_of_aggro|seconds of aggro.|sekuntia aggressiivisuutta.|segundos de aggro.|секунды агра.|仇恨秒數。|被害の軽減。|어그로 시간(초).|Sekunden Aggro.|secondes d'aggro.
of_damage_mitigated|of damage mitigated.|vahinkoa lievenetty.|de dano mitigado.|ущерб уменьшен.|減少受到的傷害。|シールドとして健康の。|데미지 완화.|Schadensmilderung.|de dégâts réduits.
of_health_as_shield|of health as shield.|terveyttä kilpenä.|da vida como escudo.|здорове как щит.|生命值作為護盾。|損傷の癒さ。|로 부터 체력을 쉴드.|Lebenspunkte als Absorption.|de la vie comme bouclier.
of_damage_healed|of damage healed.|vahinkoa parannettu.|de dano curado.|повреждения зажили.|傷害已治愈。|ダメージを返さ。|데미지 치료.|des Schadens heilt.|de dégâts soignés.
of_damage_returned|of damage returned.|vahinkoa palautettu.|de dano retornado.|урона возвращено.|傷害返回。|どちらも|데미지 리턴.|Schadensreflexion.|de dégâts renvoyés.
both|Both|Molemmat|Ambos|Оба|兩者|左|쌍방|Beide|à la fois
left|Left|Vasen|Esquerda|Левый|左|正しい|왼쪽|Links|Gauche
right|Right|Oikea|Direita|Верно|右|ユーバー|오른쪽|Recht|Droite
uber|Uber|Uber|Uber|Убер|Uber|ダメージをリバウンド。|우버|Uber|Uber
rebound_damage|rebound damage.|vahinkoa kimmotessa.|dano de rebote.|урон от рикошета.|反彈傷害。|突き刺すチャンス。|데미지 회복.|Abprallschaden.|dégâts par ricochet.
chance_to_pierce|chance to pierce.|mahdollisuus lävistää.|chance de perfurar.|шанс прокола.|穿刺機率。|報復の損傷。|관통 기회.|Chance zu durchbohren.|chance de perforation.
retaliation_damage|retaliation damage.|kostoiskuvahinkoa.|dano de retaliação.|отражение.|反擊傷害。|戦利品フィルタ|보복 데미지.|Vergeltungsschaden.|dégâts de riposte.
loot_filter|Loot filter|Esinesuodatin|Filtro de Loot|Фильтр добычи|戰利品過濾器|ルーンフィルタ|전리품 필터|Beutefilter|Filtre de butin
loot_filter_description|Click checkboxes to show or hide specific affix tiers. Red means the tier is visible, yellow means it’s highlighted (light pillar on drop, colored tooltip, and map icon). Right-click a visible tier to highlight it. Click an affix name to toggle all its tiers, or click a tier letter (D/C/B/A/S) to toggle that tier for all affixes. Items with no red or yellow tiers will not appear on the ground. ||||點選複選框可顯示或隱藏特定詞綴等級。紅色表示該等級可見，黃色表示該等級高亮顯示（掉落時會顯示光柱、彩色工具提示和地圖圖示）。右鍵點選可見等級即可高亮顯示。點選詞綴名稱可切換所有等級，點選等級字母（D/C/B/A/S）可切換所有詞綴的該等級。沒有紅色或黃色等級的物品不會出現在地面上。|ルーンフィルタ|룬 필터|||Filtro de botín
loot_filter_description_gamepad|Click checkboxes to show or hide specific affix tiers. Red means the tier is visible, yellow means it’s highlighted (light pillar on drop, colored tooltip, and map icon). Press the highlight button for a visible tier to highlight it. Press an affix name to toggle all its tiers, or press a tier letter (D/C/B/A/S) to toggle that tier for all affixes. Items with no red or yellow tiers will not appear on the ground. |Napsauta valintaruutuja näyttääksesi tai piilottaaksesi tiettyjä kiinnitystasoja. Punainen tarkoittaa, että taso on näkyvissä, keltainen tarkoittaa, että se on korostettu (vaalea pylväs pudotuksessa, värillinen työkaluvihje ja karttakuvake). Korosta näkyvä taso painamalla korostuspainiketta. Paina kiinnityksen nimeä vaihtaaksesi kaikkien sen tasojen välillä tai paina tason kirjainta (D/C/B/A/S) vaihtaaksesi kyseisen tason kaikille kiinnitystasoille. Esineet, joilla ei ole punaisia ​​tai keltaisia ​​tasoja, eivät näy maassa. |Clique nas caixas de seleção para mostrar ou ocultar níveis específicos de afixos. Vermelho significa que o nível está visível, amarelo significa que está destacado (pilar de luz ao soltar o item, dica de ferramenta colorida e ícone no mapa). Pressione o botão de destaque para selecionar um nível visível. Pressione o nome de um afixo para alternar todos os seus níveis ou pressione a letra do nível (D/C/B/A/S) para alternar esse nível para todos os afixos. Itens sem níveis vermelhos ou amarelos não aparecerão no chão. |Нажмите на флажки, чтобы отобразить или скрыть определенные уровни аффиксов. Красный цвет означает, что уровень виден, желтый — что он выделен (световой столб при выпадении, цветная подсказка и значок на карте). Нажмите кнопку выделения видимого уровня, чтобы выделить его. Нажмите на название аффикса, чтобы переключить все его уровни, или нажмите на букву уровня (D/C/B/A/S), чтобы переключить этот уровень для всех аффиксов. Предметы без красного или желтого уровня не будут отображаться на земле. |點選複選框可顯示或隱藏特定詞綴等級。紅色表示該等級可見，黃色表示該等級已高亮顯示（掉落時會顯示光柱、彩色提示訊息和地圖圖示）。點擊可見等級對應的高亮按鈕即可將其高亮顯示。點選詞綴名稱可切換顯示該詞綴的所有等級，或點選字母等級（D/C/B/A/S）可切換顯示該等級的所有詞綴。未顯示紅色或黃色等級的物品不會出現在地面上。 |チェックボックスをクリックして、特定のアフィックスのティアを表示または非表示にします。赤色はティアが表示されていることを示し、黄色はハイライトされていることを示します（ドロップ時に光の柱が表示され、ツールチップとマップアイコンが色付きになります）。表示されているティアのハイライトボタンを押すと、そのティアがハイライトされます。アフィックス名を押すと、そのティアのすべてのティアが切り替わります。ティアの文字（D/C/B/A/S）を押すと、そのティアがすべてのアフィックスで切り替わります。赤色または黄色のティアがないアイテムは、地面に表示されません。 |체크박스를 클릭하여 특정 접두사 등급을 표시하거나 숨길 수 있습니다. 빨간색은 등급이 표시됨을, 노란색은 강조 표시됨(드롭 시 빛나는 기둥, 색상이 있는 툴팁, 지도 아이콘)을 나타냅니다. 표시된 등급의 강조 표시 버튼을 누르면 해당 등급이 강조 표시됩니다. 접두사 이름을 누르면 해당 접두사의 모든 등급이 켜짐/꺼짐 상태가 되고, 등급 문자(D/C/B/A/S)를 누르면 모든 접두사에 대해 해당 등급이 켜짐/꺼짐 상태가 됩니다. 빨간색이나 노란색 등급이 표시되지 않은 아이템은 지면에 나타나지 않습니다. |Aktivieren Sie die Kontrollkästchen, um bestimmte Affix-Stufen ein- oder auszublenden. Rot bedeutet, dass die Stufe sichtbar ist, Gelb bedeutet, dass sie hervorgehoben ist (Lichtsäule beim Ablegen, farbiger Tooltip und Kartensymbol). Drücken Sie die Hervorhebungstaste für eine sichtbare Stufe, um diese hervorzuheben. Tippen Sie auf einen Affix-Namen, um alle zugehörigen Stufen ein- und auszublenden, oder auf einen Stufenbuchstaben (D/C/B/A/S), um diese Stufe für alle Affixe ein- und auszublenden. Gegenstände ohne rote oder gelbe Stufen werden nicht auf dem Boden angezeigt.|Cochez les cases pour afficher ou masquer les niveaux d'affixes. Le rouge indique que le niveau est visible, le jaune qu'il est mis en évidence (pilier lumineux à l'apparition, infobulle colorée et icône sur la carte). Appuyez sur le bouton de mise en évidence pour sélectionner un niveau visible. Appuyez sur le nom d'un affixe pour afficher ou masquer tous ses niveaux, ou sur une lettre de niveau (D/C/B/A/S) pour l'afficher ou le masquer pour tous les affixes. Les objets sans niveau rouge ou jaune n'apparaîtront pas au sol. |Haz clic en las casillas de verificación para mostrar u ocultar niveles de afijos específicos. El rojo indica que el nivel es visible, el amarillo que está resaltado (pilar de luz al caer, información emergente de color e icono en el mapa). Pulsa el botón de resaltado para resaltar un nivel visible. Pulsa el nombre de un afijo para mostrar u ocultar todos sus niveles, o pulsa la letra del nivel (D/C/B/A/S) para mostrar u ocultar ese nivel para todos los afijos. Los objetos sin niveles rojos o amarillos no aparecerán en el suelo. |Zaznacz pola wyboru, aby pokazać lub ukryć konkretne tiery afiksów. Czerwony oznacza, że tier jest widoczny, żółty oznacza podświetlenie (światło słupa przy dropie, kolorowy tooltip i ikona na mapie). Naciśnij przycisk podświetlenia widocznego tieru, aby go podświetlić. Naciśnij nazwę afiksu, aby przełączyć wszystkie jego tiery, lub naciśnij literę tieru (D/C/B/A/S), aby przełączyć ten tier dla wszystkich afiksów. Przedmioty bez czerwonych lub żółtych tierów nie pojawią się na ziemi.
