[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_dialog_441|I know this is no job for a hero, but to be one you sometimes need to take a dip to the dark side. [c_yellow]Inside the walls of Gladsheim Halls[c_reset] is hidden a precious little statue, the Golden Warrior portraying the Leader of Valkyries. I wa... WE need it, for uhm.. MUSEUM! Yes, a museum of.. statues... Anyway, we pay a handsome amount of gold for it. There are special [c_yellow]glowing stones[c_reset] inside the halls. Its illumination might help you find the statue...||Sei que esse trabalho não é para um herói, mas para ser um herói, às vezes é preciso dar um mergulho no lado negro. [c_yellow]Dentro das paredes dos Salões de Gladsheim[c_reset] está escondida uma pequena estátua preciosa, o Guerreiro Dourado retratando a Líder das Valquírias. Eu quer... NÓS precisamos dela, para é... um MUSEU! Sim, um museu de... estátuas... De qualquer forma, pagamos uma bela quantia em ouro por ela. Há pedras brilhantes [c_yellow]pedras brilhantes[c_reset] especiais dentro dos corredores. Sua iluminação pode ajudá-lo a encontrar a estátua...| Я знаю, что это работа не для героя.|我知道這份工作不適合英雄，但要成為英雄，有時你需要深入黑暗面.[nl]在格拉茲海姆大廳的牆壁裡隱藏著一尊珍貴的小雕像——描繪女武神領袖的金色戰士.[nl]我想……我們需要它..博物館！[nl]是的…博物館..雕像...不管怎樣，[nl]我們為此付出了相當多的紅寶石|「これは英雄向きの仕事じゃないかもしれないけど、英雄になるためには時に闇の世界に足を踏み入れる必要があるんだ。[c_yellow]グラズハイムのホールの中[c_reset]には、ヴァルキリーのリーダーを表現した貴重な黄金の戦士像が隠されている。…私たち、いや、私たちはそれを必要としているんだ、うーん、博物館のために！そう、彫像の博物館… とにかく、そのためにかなりの金を払うよ。ホールの中には特別な[c_yellow]光る石[c_reset]がある。光が像を見つける手助けになるだろう。」|영웅답지 않은 일일 수도 있지만, 가끔은 어둠에 발을 들여야 진짜 영웅이 되는 법이지. [c_yellow]글라드스헤임 전당 안[c_reset]에는 발키리의 수장을 형상화한 ‘황금 전사’ 조각상이 숨겨져 있어. 우리는... 박물관을 위해 필요해! 어쨌든 잘 보상할 테니, 안에 있는 [c_yellow]빛나는 돌[c_reset] 활용해서 찾아줘...||Je sais que ce travail n'est pas digne un héros, mais pour en être un il faut parfois savoir se salir les mains. Dans les murs du [c_aqua]Hall de Gladsheim[c_reset] se cache une précieuse petite statue, la guerrière d'or, qui représente la cheffe des Valkyries. Je la v... NOUS en avons besoin pour... heu ... un MUSÉE ! Oui, un musée de... heu... statues... Quoi qu'il en soit, nous payons une belle somme en rubis pour l'obtenir.
quest_name_442|Naga Treasury ||Tesouro de Naga| Сокровищница Нага|娜迦寶庫|ナーガの宝庫|나가 보물창고||Trésor Naga
quest_description_442|Retrieve the Golden Snake amulet from Naga Temple.||Recupere o Amuleto da Serpente Dourada no Templo de Naga| Добудьте амулет Золотой Змеи из Храма Наг.|從氾濫的平原≤8-2≥地下城娜迦神廟二樓，副本出口往左邊牆壁走進密室取回金蛇護身符|ナーガ神殿から黄金の蛇のアミュレットを取り戻す|나가 신전에서 황금 뱀 어뮬렛을 회수하세요.||Récupérez l'amulette du serpent d'or dans le temple Naga.
quest_objective_442_1|Amulet found||Amuleto encontrado| Амулет найден|找到護身符|アミュレットを見つけた|어뮬렛 획득||Amulette trouvée
quest_objective_442_2|Temple escaped||Fuga do templo| Храм сбежал|逃離神廟|神殿から脱出した|신전 탈출||Le temple s'est échappé
quest_dialog_442|Rumor has it that the Naga Temple holds the greatest treasury in Valhalla. It is also said to be the home of the Golden Snake amulet. Find it, and bring it here for my collection. Beware: Nagas are known to be sneaky and mischievous, your way back might not be as easy as you think. ||Há rumores de que o Templo Naga possui o maior tesouro de Valhalla. Dizem também que é o lar do amuleto da Serpente Dourada. Encontre-o e traga-o aqui para minha coleção. Cuidado: Os nagas são conhecidos por serem sorrateiros e maliciosos. Seu caminho de volta pode não ser tão fácil quanto você pensa.| Ходят слухи, что Храм Нага хранит величайшую сокровищницу в Вальхалле. Также говорят, что это дом амулета Золотой Змеи. Найти его|有傳言說那加神廟擁有瓦爾哈拉最大的金庫.[nl]據說這裡也是金蛇護身符的故鄉.[nl]找到它，帶到這裡來收藏.[nl]小心：[nl]眾所周知，娜迦是狡猾和頑皮的——你回來的路可能並不像你想像的那麼容易|「噂によるとナーガ神殿はヴァルハラで最大の宝庫を持っているそうだ。黄金の蛇のアミュレットもそこにあると言われている。見つけてここに持ってきてほしい。注意してくれ、ナーガは狡猾でいたずら好きだから、帰り道は簡単ではないかもしれない。」|전설에 따르면 나가 신전은 발할라에서 가장 많은 보물을 간직한 장소래. 황금 뱀 어뮬렛도 그곳에 있지. 조심해 나가는 교활해서 돌아오는 길이 만만치 않을 거야.||La rumeur veut que le [c_aqua]Temple Naga[c_reset] détienne le plus grand trésor du Valhalla. On dit aussi que c'est là que se trouve l'[c_yellow]amulette du serpent d'or[c_reset]. Trouvez-la et rapportez-la ici pour ma collection. Attention : Les Nagas sont connus pour être sournois et malicieux, votre quête pourrait ne pas être aussi simple que vous le pensez.
quest_name_443|The Crown of Surtr ||A Coroa de Surtr| Корона Сурта|蘇爾特的王冠|スルトの王冠|수르트의 왕관||La couronne de Surt
quest_description_443|Remove Surtr's crown in Muspelheim.||Remova a coroa de Surtr em Muspelheim| Снимите корону Сурта в Муспельхейме.|拆除在遺忘洞穴≤8-3≥地下城穆斯貝爾海姆裡的蘇爾特王冠|ムスペルヘイムでスルトの王冠を取り除く|무스펠헤임에서 수르트의 왕관을 제거하세요.||Retirer la couronne de Surt à Muspelheim.
quest_objective_443_1|Crown removed||Coroa removida| Корона удалена|摘下王冠|王冠を取り除いた|왕관 제거||Couronne retirée
quest_dialog_443|In the realm of fire and lava stands Surtr, forever chained to his realm. For eons he has been dormant, turned into obsidian statue that merely displays a fraction of his burning soul. But something is happening, signs indicate he's waking up. We need a hero who could pull of the impossible: get Surtr's crown off of him, it's the source of his power. Good luck to the brave soul who might attempt this. ||No reino do fogo e da lava está Surtr, eternamente acorrentado ao seu reino. Por eras, ele ficou adormecido, transformado em uma estátua de obsidiana que exibe apenas uma fração de sua alma ardente. Mas algo está acontecendo, os sinais indicam que ele está acordando. Precisamos de um herói que consiga realizar o impossível: tirar a coroa de Surtr de cima dele, pois ela é a fonte de seu poder. Boa sorte para a alma corajosa que tentar fazer isso.| В царстве огня и лавы стоит Сурт|在火焰和熔岩的王國中，蘇爾特永遠被束縛在他的王國中.[nl]億萬年來，[nl]他一直處於休眠狀態，[nl]變成了一尊黑石雕像，[nl]只展示了他燃燒的靈魂的一小部分.[nl]但有跡象表明他醒了.[nl]我們需要一個能夠完成不可能的事情的英雄：從他身上摘下蘇爾特的王冠——這是他力量的源泉.[nl]祝勇敢的人好運|「火と溶岩の国にスルトはいる。永遠にその領域に鎖で繋がれたままだ。長い間眠りについており、黒曜石の像となり、その燃える魂の一部だけを表している。しかし何かが起きている。彼が目覚めつつある兆候がある。彼の力の源である王冠を取り外せる英雄が必要だ。これに挑戦する勇敢な魂に幸運あれ。」|불과 용암의 영역에서 수르트는 오랜 시간 동안 사슬에 묶인 채 흑요석상으로 잠들어 있었지. 그런데 최근 징조들이 그가 깨어나고 있음을 암시하고 있어. 그의 힘의 원천인 왕관을 벗겨야 해. 이건 거의 불가능한 일일 수도 있어. 행운을 빈다!||Dans le royaume du feu et de la lave se tient [c_red]Surt[c_reset], à jamais enchaîné à son royaume à [c_aqua]Muspelheim[c_reset]. Depuis des lustres, il est en sommeil, transformé en statue d'obsidienne qui ne laisse s'exprimer qu'une fraction de son âme flamboyante. Mais quelque chose se passe, des signes indiquent qu'il se réveille. Nous avons besoin d'un héros capable de réaliser l'impossible : lui retirer la [c_yellow]Couronne de Surt[c_reset], qui est la source de son pouvoir. Bonne chance à l'âme courageuse qui tentera l'aventure.
quest_name_444|Grim Skull ||Crânio Sinistro| Мрачный Череп|冷酷的骷髅|グリムスカル|그림 스컬||Crâne sinistre
quest_description_444|Find the mystical skull in Niflhel.||Encontre a caveira mística em Niflhel.| Найдите мистический череп в Нифльхеле.|在在赫爾海姆≤8-5≥地下城尼夫海姆內的骨堆裡找到神秘頭骨|ニフルヘルで神秘的な頭蓋骨を見つける|니플헤임에서 신비로운 해골을 찾으세요.||Trouvez le crâne mystique à Niflhel.
quest_objective_444_1|Skull collected||Caveira coletada| Череп собран|收集頭骨|頭蓋骨を回収した|해골 획득||Crâne collecté
quest_dialog_444|There is an old tale of a great and respected warrior who lost his life and was sent to Niflhel to rot. His skull is rumored to be somewhere in there collected by the legendary beast Grimbone and it’s said to hold some mystical powers. Find the skull and return it here, perhaps we would find some use for it. ||Há uma antiga história de um grande e respeitado guerreiro que perdeu a vida e foi enviado a Niflhel para apodrecer. Há rumores de que seu crânio esteja em algum lugar lá, coletado pela lendária fera Grimbone, e dizem que ele possui alguns poderes místicos. Encontre o crânio e devolva-o aqui, talvez encontremos algum uso para ele.| Есть старая история о великом и уважаемом воине, который потерял свою жизнь и был отправлен гнить в Нифльхель. Ходят слухи, что его череп где-то там, собранный легендарным зверем Гримбоуном, и говорят, что он обладает какой-то мистической силой. Найдите череп и верните его сюда|有一個古老的傳說，[nl]一個偉大而受人尊敬的戰士失去了生命，[nl]並被送到尼夫爾海姆腐爛。[nl]據傳說，他的頭骨據說就在那裡，[nl]被傳說中的野獸Grimbone收藏著，[nl]據說它具有某些神秘的力量。[nl]找到這顆頭骨，[nl]把它帶回這裡，[nl]也許我們會找到一些用途|「かつて偉大で尊敬された戦士が命を落とし、ニフルヘルに送られて腐敗しているという古い話がある。その頭蓋骨は伝説の獣グリムボーンに集められていると言われ、神秘的な力を持つとも言われている。頭蓋骨を見つけてここに持ってきてくれ。何か役に立つかもしれない。」|예전 위대한 전사가 전사한 후 니플헤임에서 썩고 있다는 전설이 있어. 그의 해골은 그림본이라는 전설 속 괴수가 가져갔고, 신비한 힘을 지닌다고 해. 그 해골을 찾아줘. 유용하게 쓸 수 있을지도 몰라.||Une vieille histoire raconte qu'un héros prestigieux a perdu la vie et a été envoyé à Niflhel pour y croupir. On dit que son crâne se trouve quelque part, collecté par la bête légendaire Grimbone, et qu'il renferme des pouvoirs mystiques. Trouvez le crâne et ramenez-le ici, nous pourrons peut-être l'utiliser.
quest_name_445|WANTED: Xor||PROCURADO: Xor| ТРЕБУЕТСЯ: Ксор|通缉：Xor|指名手配: ゾール|현상수배: 조르||Chasse quotidienne
quest_description_445|Use Pulser to find Xor in Event Horizon and kill him.||Use o Pulsador para encontrar Xor no Horizonte de Eventos| С помощью пульсатора найдите Ксора в Горизонте событий и убейте его.|使用任務給予的遺物脈衝器在視界≤7-2≥中找到Xor並殺死他|パルサーを使ってイベントホライゾンでゾールを見つけて倒す|사건의 지평선에서 펄서를 사용해 조르를 찾아 죽이세요.||Trouvez [daily_hunt_enemy] dans l'acte [daily_hunt_act].
