[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
ct_kukkonen_1|Help me hero! I must return to town at once!|Auta minua Sankari! Minun täytyy palata kylään välittömästi!|Me ajude, herói! Devo voltar para a cidade imediatamente!| Помоги мне, герой! Я должен немедленно вернуться в город!|英雄幫我！我必須馬上回城！|ヒーローを助けて！すぐに町に帰らなきゃ！|영웅을 도와주세요! 당장 마을로 돌아 가야 해요!|Hilf mir, Held! Ich muss sofort in die Stadt zurückkehren!|Aide-moi, héros ! Je dois retourner en ville immédiatement !|¡Ayúdame, héroe! ¡Debo regresar al pueblo de inmediato!|Pomóż mi, bohaterze! Muszę natychmiast wrócić do miasta!
ct_kukkonen_2|Thank you for saving me hero... Be careful though, something evil lies ahead.|Kiitos kun pelastit minut Sankari... Ole silti varovainen, jotakin pahaa lymyää edessä.|Obrigado por me salvar, herói... Mas tome cuidado, pois algo maligno está por vir.| Спасибо, что спас меня, герой... Но будь осторожен.|謝謝你救了我，英雄……不過要小心，邪惡就在前方. |ヒーローを助けてくれてありがとう...でも気をつけて、何か悪が先にある。|저를 구해줘서 고맙습니다, 영웅님... 하지만 조심하세요, 앞에는 무언가 악한 것이 기다리고 있습니다.|Danke, dass du mich gerettet hast, Held... Sei aber vorsichtig, etwas Böses liegt vor dir.|Merci de m'avoir sauvé, héros... Mais attention, quelque chose de maléfique nous attend.|Gracias por salvarme, héroe... Pero ten cuidado, algo maligno acecha más adelante.|Dziękuję, że mnie uratowałeś, bohaterze... Bądź jednak ostrożny, coś złego czai się przed nami.
|||||||||||
ct_god_1|Tarethiel could use some help. Don't look at me, I don't want to go down there.|Tarethiel voisi kaivata apua. Älä minua katso, en minä ole menossa tuonne alas.|Tarethiel precisa de ajuda. Não olhe para mim, eu não quero descer lá.| Таретиэль нужна помощь. Не смотри на меня.|塔雷希爾需要一些幫助。  別看我，我不想下去。  |Tarethielはいくつかの助けを使うことができます。私を見ないで、そこに行きたくない。|타레시엘은 도움을받을 수 있습니다. 날 쳐다 보지 말고 거기 내려 가고 싶지 않아요|Tarethiel könnte Hilfe gebrauchen. Schau mich nicht an, ich will da nicht runter.|Tarethiel aurait bien besoin d'un peu d'aide. Ne me regardez pas comme ça, je n'ai aucune envie de descendre.|A Tarethiel le vendría bien algo de ayuda. Y no me mires a mí, no pienso bajar ahí.|Tarethiel mógłby skorzystać z pomocy. Nie patrz na mnie, nie chcę tam schodzić.
ct_god_2|The world is full of evil beings... If only I created a Hero to slay them... You can get to work now, goodbye.|Maailma on täynnä pahuuksia... Jospa vain loisin sankarin kukistamaan ne... Voit ryhtyä hommiin nyt, näkemiin.|O mundo está cheio de seres malignos... Se ao menos eu criasse um herói para matá-los... Agora você pode começar a trabalhar, adeus.| Мир полон злых существ... Если бы я только создал Героя, чтобы убить их... Теперь вы можете приступить к работе.|這個世界充滿了邪惡的生物...如果我創造了一個英雄來殺死他們就好了...你現在可以開始工作了，再見。  |世界は邪悪な存在でいっぱいです...私が彼らを殺すためにヒーローを作成しただけなら...あなたは今仕事に取り掛かることができます、さようなら。|세상은 사악한 존재들로 가득 차 있습니다... 내가 그들을 죽이기 위해 영웅을 만들었다면... 이제 일할 수 있습니다, 안녕.|Die Welt ist voller böser Wesen... Wenn ich nur einen Helden erschaffen hätte, um sie zu töten... Du kannst jetzt an die Arbeit gehen, auf Wiedersehen.|Le monde est plein d'êtres maléfiques... Si seulement j'avais créé un héros pour les tuer... Tu peux aller travailler maintenant, au revoir.|El mundo está lleno de seres malignos... Ah, si tan solo hubiera creado a un Héroe para aniquilarlos... En fin, ya puedes ponerte a ello. Adiós.|Świat jest pełen złych istot... Gdybym tylko stworzył Bohatera, który by je zabił... Możesz teraz zabrać się do pracy, do widzenia.
ct_god_3|I am extremely busy can you not see? It isn't easy being in charge of Heaven.|Olen erittäin kiireinen, etkö näe? Ei ole helppoa olla luomakunnan pomo.|Estou extremamente ocupado, não percebe? Não é fácil estar no comando do céu.| Я очень занят, разве ты не видишь? Нелегко быть ответственным за Небеса.|我非常忙，看不到嗎？掌管天堂並非易事。  |とても忙しいので見えませんか？天国を担当するのは簡単ではありません。|너무 바빠서 안보여? 천국을 담당하는 것은 쉽지 않습니다.|Ich bin sehr beschäftigt, kannst du nicht sehen? Es ist nicht leicht, die Verantwortung für den Himmel zu übernehmen.|Je suis très occupé, vous ne voyez pas ? Ce n'est pas facile d'être responsable du Paradis.|¿No ves que estoy ocupadísimo? No es fácil estar al mando del Cielo.|Jestem niezwykle zajęty, czy nie widzisz? Nie jest łatwo być odpowiedzialnym za Niebiosa.
ct_god_give_item|Alright, I have something for you here, you're welcome!||Muito bem, tenho algo para você aqui, de nada! | Хорошо|好吧，我這裡有東西給你，別客氣！ |はい、これを君に渡すよ、どういたしまして！|저를 구 해주셔서 감사합니다.|Okay, ich habe hier etwas für dich, gern geschehen!|Très bien, j'ai quelque chose pour vous ici, de rien ! |Muy bien, aquí tengo algo para ti. De nada.|W porządku, mam tu coś dla ciebie, proszę bardzo!
|||||||||||
ct_elias_1|Go away! You're killing my flow...|Mene pois! Tapat minun flown...|Vá embora! Você está acabando com meu fluxo...| Уйди! Ты убиваешь мой поток...|走開！你在扼殺我的靈感...|どこかに行って！あなたは私の流れを殺している...|가버려! 내 흐름을 방해하지 마...|Geh weg! Du tötest meinen Fluss...|Va-t'en ! Tu es entrain de tuer mon flow...|¡Vete! Estás cortando mi inspiración...|Idź sobie! Zabijasz mi flow...
ct_jussi_1|Don't do as I do, do as I say.|Älä tee kuten minä teen, tee kuten minä sanon.|Não faça o que eu faço, faça o que eu digo.| Не делай как я|不要照我做的做，照我說的做..|私のようにしないでください、私が言うようにしてください。|나처럼 하지 말고, 내가 말하는 대로 해.|Tu nicht wie ich, mach was ich sage.|Fais ce que je dis, pas ce que je fais.|No hagas lo que yo hago, haz lo que yo digo.|Nie rób jak ja, rób jak mówię.
bd_jussi_1|Yes, what? Can't I even have one smoke break in peace?||Sim, o quê? Não posso nem fazer uma pausa para fumar em paz?|Да, что? Мне что, даже перекурить спокойно не дают? |是的，什麼？我就不能平靜地抽一次煙嗎？ |え、何ですって？ タバコ休憩すらまともに取れないんですか？ |응, 뭐야? 내가 담배 한 대 피우는 것도 못 해?|Ja, was? Kann ich nicht mal eine Raucherpause in Ruhe machen?|Oui, quoi ? Je ne peux même pas faire une pause clope tranquillement ?|¿Sí, qué? ¿Es que no puedo ni tomarme un respiro para fumar en paz?|Tak, co? Czy nie mogę nawet mieć jednej przerwy na papierosa w spokoju?
ct_mika_1|Just making art, trying not to panic.|Teen vain taidetta, yritän olla panikoimatta.|Apenas fazendo arte, tentando não entrar em pânico.| Просто создаю искусство|只是在創作藝術，盡量不要驚慌。 |パニックにならないように、ただアートを作っているだけです。|그냥 예술을 만들고 있어, 당황하지 않으려고 노력 중이야.|Nur Kunst machen, nicht in Panik geraten.|Être artiste rend anxieux, il ne faut pas céder à la panique.|Solo estoy creando arte, intentando no entrar en pánico.|Po prostu tworzę sztukę, starając się nie panikować.
ct_anton_1|What is the worth of driving a car if it is not a Mercedes ?|Mitä järkeä on ajaa autolla jos se ei ole Mercedes ?|De que vale dirigir um carro se não for um Mercedes?| Какой смысл водить машину, если это не Мерседес?|如果不是賓士，開一輛車還有什麼價值？  |メルセデスでない場合、車を運転する価値は何ですか？|메르세데스가 아니면 차를 몰 가치가 뭐야?|Was ist es wert, ein Auto zu fahren, wenn es kein Mercedes ist?|Quel est l'intérêt de conduire une voiture si ce n'est pas une Mercedes ?|¿De qué sirve conducir un coche si no es un Mercedes?|Jaka jest wartość jazdy samochodem, jeśli nie jest to Mercedes?
ct_antti_1|Only in flame will the secret breathe, Where paths once easy now seethe. Walk backward, feel the scorch. Find fruit beneath the blazing torch.||Só na chama o segredo respirará, onde caminhos antes fáceis agora fervilham. Caminhe para trás, sinta a queimadura. Encontre frutos sob a tocha flamejante. |Только в пламени зародится тайна, там, где некогда лёгкие тропы теперь бурлят. Иди назад, почувствуй жар. Найди плоды под пылающим факелом. |唯有火焰，秘密才能呼吸，曾經平坦的道路如今卻沸騰翻騰。向後退，感受灼燒。 在熊熊燃燒的火炬下尋找果實.  |炎の中でこそ秘密は息づく。かつては容易だった道は今や沸騰する。後ろ向きに歩き、焦げた熱を感じよ。燃え盛る松明の下で果実を見つけよ。 |오직 불꽃 속에서만 비밀이 숨 쉬고, 한때 쉬웠던 길은 이제 끓어오르네. 뒤로 걸어가 타오르는 열기를 느껴봐. 활활 타오르는 횃불 아래에서 열매를 찾아봐. |Nur im Feuer atmet das Geheimnis, wo einst leichte Wege nun brodeln. Geh rückwärts, spüre die Glut. Finde Früchte unter der lodernden Fackel.|Seul le feu révélera le secret, là où les chemins jadis faciles bouillonnent désormais. Recule, sens la brûlure. Trouve des fruits sous la torche ardente. |Solo en las llamas respirará el secreto, donde los caminos antes fáciles ahora hierven. Camina hacia atrás, siente el ardor. Encuentra el fruto bajo la antorcha ardiente. |Tylko w płomieniu sekret odetchnie, Gdzie ścieżki niegdyś łatwe teraz się gotują. Idź do tyłu, poczuj żar. Znajdź owoc pod płonącą pochodnią.
ct_rexi_1|Want to hear my masterpiece?|Haluatko kuulla mestariteokseni?|Quer ouvir minha obra-prima?| Я все равно сыграю!|想聽聽我的傑作嗎？|私の傑作を聞きたいですか？|내 걸작을 듣고 싶어?|Willst du mein Meisterwerk hören?|Vous voulez entendre mon chef-d'œuvre ?|¿Quieres oír mi obra maestra?|Chcesz usłyszeć moje arcydzieło?
ct_rexi_2|I shall play it anyway!|Soitan sen silti!|Vou tocar de qualquer maneira!|Я всё равно в неё сыграю! |無論如何都要玩它！|とにかく弾きます！|어쨌든 연주할 거야!|Ich werde es trotzdem spielen!|Je le jouerai quand même !|¡La tocaré de todos modos!|I tak je zagram!
ct_tomi_1|"You just lost ""The Game"", [heroname] ;)"|"Hävisit juuri ""Pelin"" ;)"|"Você acabou de perder ""O Jogo"" ;)"| Ты только что проиграл «Игру», [имя героя] ;)|"你剛剛輸掉了‘遊戲’""，[heroname];)"|君はもう“ゲーム”に負けているよ、 [heroname] ;)|"너는 이미 ""게임""을 졌어, [heroname] ;)"|"Sie haben gerade ""Das Spiel"" verloren ;)"|"Tu viens de perdre ""la partie"", [heroname] ;)"|"Acabas de perder ""El Juego"", [heroname] ;)"|"""Właśnie przegrałeś """"The Game"""", [heroname] ;)"""
ct_marcio_1|Do not avoid not making the bell not ring.||Não evite fazer com que a campainha não toque.| Не избегайте того, чтобы колокольчик не звонил.|不要避免不讓鈴聲不響。 |鐘を鳴らさないようにしないでください|벨이 울리지 않게 하지 마.|Vermeide es nicht, die Glocke läuten zu lassen.|Ceci est un espace réservé car je ne suis ni original, ni drôle et je réfléchis trop à ce que je devrais dire.|No evites no hacer que la campana no suene.|Nie unikaj nie dzwonienia dzwonkiem.
ct_alias_1|What am I doing here? Oh god... this is my worst nightmare. They put me inside a game!|What am I doing here? Oh god... this is my worst nightmare. They put me inside a GMS2 project|O que estou fazendo aqui? Oh, Deus... esse é o meu pior pesadelo. Eles me colocaram dentro de um projeto!| Что я здесь делаю? О боже... это мой худший кошмар. Они поместили меня в игру!|我在這裡做什麼？天啊……這是我最糟糕的惡夢。他們讓我參與 GMS2 項目! |俺はここで何してるんだ？うわぁ…最悪の悪夢だ。俺はゲームの中に入れられたんだ！|여기서 뭐 하는 거지? 오, 신이여... 이건 내 최악의 악몽이야. 그들은 나를 게임 안에 넣었어!|What am I doing here? Oh god... this is my worst nightmare. They put me inside a game!|Qu'est-ce que je fais là ? Oh mon dieu... c'est mon pire cauchemar. Ils m'ont mis dans un projet!|¿Qué hago aquí? Oh, dios... es mi peor pesadilla. ¡Me han metido en un juego!|Co ja tu robię? O Boże... to jest mój najgorszy koszmar. Włożyli mnie do gry!
ct_severus_1|Developr, developer... Gaame makker game makker, [heroname] lol||Developr, developer... Gaame makker game makker, [heroname] lol| Разработчик|開發商，開發商…遊戲製作者 遊戲製作者，[heronme] 哈哈|デベロッパー、デベロッパー…ゲームクリエイター、ゲームクリエイター、[heroname]、笑|개발자, 개발자... 게임 만드는 사람 게임 만드는 사람, [heroname] lol|Entwickler, Entwickler... Dorfbauer, Dorfbauer, [Heronme] lol|Développeur, développeur.... Créateur de jeeeeuuu créateuuuuuur de jeeuu, [heroname] lol|Programadorr, programador... Creador de jueegos, creador de jueegos, [heroname] lol|Developr, developer... Gaame makker game makker, [heroname] lol
