|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
etherUrBig11|Increased chance to spawn an Unstable Rift on your maps.||Aumentada a chance de surgimento de uma Fenda Instável em seus mapas. |Повышена вероятность появления Нестабильного Разлома на ваших картах.|增加在地圖中生成不穩定裂隙的機率。|マップ上に不安定な裂け目が出現する確率が上昇しました。 |맵에서 불안정한 균열이 생성될 확률 증가.|Erhöhte Chance, dass auf deinen Karten ein Instabiler Riss erscheint. |Probabilité accrue de faire apparaître une Faille instable sur vos cartes. |Mayor probabilidad de generar una Grieta Inestable en tus mapas.|Zwiększono szansę na pojawienie się Niestabilnej Szczeliny na mapach.
urIndicator_name|Unstable Rift||Fenda Instável |Нестабильный Разлом |不穩定裂縫|不安定な裂け目 |불안정한 균열 |Instabiler Riss|Faille instable |Falla inestable|Unstable Rift
|||||||||||
[Dungeons]|||||||||||
etherDngSmall01_name|Bloated Dungeon||Masmorra Inchada|Раздутое подземелье|膨脹地下城|膨れ上がったダンジョン|거대한 던전|Aufgeblähter Dungeon|Donjon surpeuplé|Mazmorra hinchada|Wzdęty Loch
etherDngSmall02_name|Bypassing the Lock||Contornando a Fechadura|Обход замка|繞過鎖定|鍵を突破する|자물쇠 우회|Das Schloss umgehen|Contourner la serrure|Bypasear la cerradura|Omiń Blokadę
etherDngSmall03_name|Finding the Key||Encontrando a Chave|Нахождение ключа|尋找鑰匙|鍵を見つける|열쇠 찾기|Den Schlüssel finden|Trouver la clé|Buscando la llave|Znajdź Klucz
etherDngSmall04_name|Valuable Dungeon||Masmorra Valiosa|Ценное подземелье|珍貴地下城|貴重なダンジョン|귀중한 던전|Wertvoller Dungeon|Donjon précieux|Mazmorra valiosa|Wartościowy Loch
etherDngSmall05_name|Bloating Treasure Chests||Baús de Tesouro Inchados|Вздутые сундуки с сокровищами|膨脹寶箱|膨張する宝箱|부풀어 오른 보물 상자|Aufgeblähte Schatztruhen|Coffres au trésor gonflés|Cofres del Tesoro Hinchados|Napęczniałe skrzynie ze skarbami
etherDngSmall06_name|Challenging Treasure Chests||Baús de Tesouro Desafiadores|Сложные сундуки с сокровищами|挑戰寶箱|難関の宝箱|도전적인 보물 상자|Herausfordernde Schatztruhen|Coffres au trésor redoutables|Cofres del Tesoro Desafiantes|Wymagające skrzynie ze skarbami
etherDngSmall07_name|Key to Satanism||A Chave para o Satanismo|Ключ к сатанизму|撒旦之鑰|サタニズムへの鍵|사탄교의 열쇠|Schlüssel zum Satanismus|Clé du satanisme|Llave del Satanismo|Klucz do satanizmu
etherDngSmall08_name|Dungeon’s Presence||Presença da Masmorra |Присутствие Подземелья|地牢氣場|ダンジョンの気配 |던전의 존재감|Präsenz des Dungeons |Présence du donjon |Presencia de la Mazmorra|Obecność lochu
etherDngBig01_name|Not Challenging Enough?||Não é Desafiador o Suficiente?|Недостаточно сложно?|還不夠有挑戰性？|物足りない？|충분히 어렵지 않나요?|Nicht herausfordernd genug?|Pas assez difficile ?|¿No es suficiente desafío?|Nie Wystarczająco Wyzwanie?
etherDngBig02_name|Dwelling Treasure Chest||Baú do Tesouro da Morada|Сундук с сокровищами|寶箱居所|宝箱|보물 상자|Schatzkiste im Behausungsbau|Coffre au trésor caché|Cofre de tesoro morador|Mieszkająca Skrzynia ze Skarbami
etherDngBig03_name|Colossal Mimicry||Mímica Colossal|Колоссальная мимикрия|巨型擬態|巨大な模倣|거대 모방|Kolossale Mimikry|Mimétisme colossal|Mimetismo colosal|Kolosalna Mimikra
etherDngBig04_name|Peak Valuation||Valor Máximo|Пиковая ценность|巔峰估值|最高評価|최고 가치|Höchster Wert|Valeur maximale|Valoración máxima|Szczytowa Wycena
etherDngBig05_name|Midas Touch||Toque de Midas|Прикосновение Мидаса|點石成金|ミダスの手|미다스의 손|Midas-Berührung|Toucher de Midas|Toque de Midas|Dotyk Midasa
etherDngBig06_name|Unstable Alchemy||Alquimia Instável|Нестабильная алхимия|不穩定的煉金術|不安定な錬金術|불안정한 연금술|Instabile Alchemie|Alchimie instable|Alquimia Inestable|Niestabilna alchemia
etherDngBig07_name|Devil’s Gamble||Aposta do Diabo|Дьявольская авантюра|惡魔的豪賭|悪魔の賭け|데빌의 도박|Wagnis des Teufels|Pari du diable|Apuesta del Diablo|Diabelski hazard
etherDngBig08_name|Echo of the Dungeon||Eco da Masmorra |Эхо Подземелья|地牢迴響|ダンジョンの残響 |던전의 메아리|Echo des Verlieses |Écho du donjon |Eco de la Mazmorra|Echo lochu
etherDngSmall01|Increases the size of monster packs in Dungeons.||Aumenta o tamanho dos grupos de monstros nas Masmorras.|Увеличивает размер групп монстров в подземельях.|地下城中怪物群數量|ダンジョン内のモンスターの群れのサイズが大きくなります。|던전 내 몬스터 무리의 크기 증가|Erhöht die Größe der Monstergruppen in Dungeons.|Augmente la taille des groupes de monstres dans les donjons.|Aumenta el tamaño de los grupos de monstruos en las mazmorras|Zwiększa rozmiar paczek potworów w Lochach
etherDngSmall02|Chance to not consume the Dungeon Keys when entering a Challenge Dungeon.||Chance de não consumir as Chaves da Masmorra ao entrar em uma Masmorra de Desafio.|Шанс не использовать ключи от подземелья при входе в сложное подземелье.|機率在進入挑戰地下城時不消耗地下城鑰匙|チャレンジダンジョンに入る際にダンジョンキーを消費しない確率が上がります。|도전 던전 입장 시 던전 열쇠를 소모하지 않을 확률 증가|Chance, die Dungeonschlüssel beim Betreten eines Herausforderungsdungeons nicht zu verbrauchen.|Chance de ne pas consommer les clés de donjon en entrant dans un donjon de défi.|Probabilidad de no consumir llaves al entrar en una mazmorra de desafío|Szansa na niezużycie Dungeon Keys przy wejściu do Challenge Dungeon
etherDngSmall03|Monsters within the Dungeon have an increased chance of dropping a Key for that Dungeon.||Os monstros dentro da Masmorra têm uma chance maior de dropar uma Chave para aquela Masmorra.|У монстров в подземелье повышается шанс выпадения ключа от этого подземелья.|地下城內怪物掉落該地下城鑰匙的機率|ダンジョン内のモンスターがそのダンジョンの鍵をドロップする確率が上がります。|던전 내 몬스터가 해당 던전 열쇠를 드롭할 확률 증가|Monster im Dungeon haben eine erhöhte Chance, einen Schlüssel für diesen Dungeon fallen zu lassen.|Les monstres du donjon ont une chance accrue de laisser tomber une clé pour ce donjon.|Los monstruos de la mazmorra tienen mayor probabilidad de soltar su propia llave|Potwory w Lochu mają zwiększoną szansę na drop Klucza do tego Lochu
etherDngSmall04|Increases the Magic Find of monsters inside Dungeons.||Aumenta a Busca Mágica dos monstros dentro das Masmorras.|Увеличивает показатель поиска магии у монстров в подземельях.|地下城內怪物的物品稀有度|ダンジョン内のモンスターのマジックファインドが上がります。|던전 내 몬스터의 마법 아이템 발견 확률 증가|Erhöht die Magiefundrate von Monstern in Dungeons.|Augmente la chance de trouver des objets magiques chez les monstres des donjons.|Aumenta el Hallazgo Mágico de los monstruos dentro de las mazmorras|Zwiększa Szansę na Magiczne Przedmioty potworów wewnątrz Lochów
etherDngSmall05|Increased Magic Find when opening chests.||Chance aumentada de encontrar itens mágicos ao abrir baús.|Увеличен шанс выпадения магических предметов при открытии сундуков.|開啟寶箱時，增加物品稀有度。|宝箱を開けた際の「Magic Find（魔法のアイテム発見率）」が上昇しました。|상자를 열 때 매직 아이템 발견 확률 증가.|Erhöhte Chance auf magische Gegenstände beim Öffnen von Truhen.|Augmentation de la chance de trouver des objets magiques lors de l'ouverture des coffres.|Mayor Hallazgo Mágico al abrir cofres.|Zwiększona szansa na znalezienie magicznych przedmiotów (Magic Find) przy otwieraniu skrzyń.
etherDngSmall06|Increased Loot Amount when opening the Challenge Dungeon reward Chest.||Quantidade de itens obtidos aumentada ao abrir o baú de recompensa da Masmorra de Desafio.|Увеличено количество добычи при открытии сундука с наградой за прохождение сложного подземелья.|開啟挑戰地牢獎勵寶箱時，增加掉落物數量。|チャレンジダンジョンの報酬の宝箱から得られる戦利品の量が増加しました。|챌린지 던전 보상 상자를 열 때 전리품 수량이 증가.|Erhöhte Beutemenge beim Öffnen der Belohnungstruhe des Herausforderungs-Dungeons.|Augmentation de la quantité de butin lors de l'ouverture du coffre de récompense du donjon de défi.|Mayor cantidad de botín al abrir el Cofre de recompensa de la Mazmorra de Desafío.|Zwiększona ilość łupów przy otwieraniu skrzyni z nagrodą za ukończenie lochu wyzwania (Challenge Dungeon).
etherDngSmall07|Dungeon chests have a 3% chance to replace a Satanic item with Satanic Dice ||Baús de masmorra têm 3% de chance de substituir um item Satânico por um Dado Satânico.|В сундуках подземелий есть 3%-ный шанс заменить сатанинский предмет на сатанинские игральные кости.|地牢寶箱有 3% 機率將撒旦裝備替換為撒旦骰子。|ダンジョンの宝箱において、Satanicアイテムの代わりに「Satanic Dice」が出現する確率が3%に設定されました。|던전 상자가 사탄 아이템 대신 3% 확률로 사탄 주사위를 드롭|Dungeon-Truhen haben eine Chance von 3 %, einen satanischen Gegenstand durch satanische Würfel zu ersetzen.|Les coffres de donjon ont 3 % de chances de remplacer un objet satanique par des Dés sataniques.|Los cofres de la Mazmorra tienen un 3 % de probabilidad de reemplazar un objeto Satánico por Dados Satánicos.|Skrzynie w lochach mają 3% szansy na zastąpienie przedmiotu klasy Satanic przedmiotem Satanic Dice.
