|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_name_eyeOfTheStorm|Eye of the Storm|Eye of the Storm|Olho da Tempestade| Глаз Бури|風暴之眼|嵐の目|아이 오브 더 스톰|Auge des Sturms|Oeil de la tempête|Ojo de la Tormenta|Oko Burzy
talent_name_thorsFury|Thor's Fury|Thor's Fury|Fúria de Thor| Ярость Тора|雷神之怒|トールの怒り|토르 퓨리|Thors Wut|Fureur de Thor|Furia de Thor|Furia Thora
talent_name_holyBolt|Holy Bolt|Holy Bolt|Raio Sagrado| Святой Болт|聖光彈|ホーリーボルト|홀리 볼트|Heiliger Blitz|Éclair sacré|Rayo Sagrado|Święty Pocisk
talent_name_divineWisdom|Divine Wisdom|Divine Wisdom|Sabedoria Divina| Божественная Мудрость|神聖智慧|ディバインウィスダム|디바인 위즈덤|Göttliche Weisheit|Sagesse divine|Sabiduría Divina|Boska Mądrość
talent_name_holyAura|Holy Aura|Holy Aura|Aura Sagrada| Святая Аура|神聖光環|ホーリーオーラ|홀리 오라|Heilige Aura|Aura sacrée|Aura Sagrada|Święta Aura
talent_name_holyHammer|Holy Hammer|Holy Hammer|Martelo Sagrado| Святой Молот|神聖之錘|ホーリーハンマー|홀리 해머|Heiliger Hammer|Marteau béni|Martillo Sagrado|Święty Młot
talent_name_holyRetribution|Holy Retribution|Holy Retribution|Retribuição Sagrada| Святое Возмездие|神聖懲戒|ホーリーレトリビューション|홀리 리트리뷰션|Heilige Vergeltung|Châtiment sacré|Retribución Sagrada|Boska Zemsta
talent_name_lightsEmbrace|Light's Embrace|Light's Embrace|Abraço da Luz| Объятия Света|聖光擁抱|ライトの抱擁|라이트 엠브레이스|Umarmung des Lichts|Étreinte de la lumière|Abrazo de la Luz|Uścisk Światła
talent_name_fistOfTheHeavens|Fist of the Heavens|Fist of the Heavens|Punho dos Céus| Кулак Небес|天堂之拳|天の拳|헤븐즈 피스트|Faust des Himmels|Poing des cieux|Puño de los Cielos|Pięść Niebios
talent_name_holyNova|Holy Nova|Holy Nova|Nova Sagrado| Святая Нова|神聖新星|ホーリーノヴァ|홀리 노바|Heilige Nova|Nova sacrée|Nova Sagrada|Święta Nowa
talent_name_theVeneratedOne|The Venerated One|The Venerated One|O Venerado| Почитаемый|受人尊敬 |尊敬される者 |더 베네레이티드 원|Der Verehrte|Le Vénéré|El Venerado|Uczczony
|||||||||||
talent_desc_vengeance|Strike monsters with a lightning shock that splits towards nearby monsters, dealing physical damage and lightning damage.|Strike monsters with a lightning shock that splits towards nearby monsters, dealing increased damage and additive lightning damage.|Atinge os inimigos com um choque de raio que se divide em direção a inimigos próximos, causando Dano Físico e Dano de Relâmpago.| Поражайте монстров молнией, которая разделяется и направляется к ближайшим монстрам.|用閃電衝擊攻擊怪物,並分裂到附近的怪物,造成傷害和附加閃電傷害. |モンスターに雷撃を放ち、近くのモンスターへ跳ね返って増加したダメージと加算の雷ダメージを与える。|번개 충격으로 몬스터를 가격하여 근처 몬스터들에게 분리되어 증가된 데미지와 추가적인 번개 데미지를 입힙니다.|Triff Monster mit einem Blitzschlag, der sich auf nahe Monster ausbreitet und erhöhten Schaden sowie zusätzlichen Blitzschaden verursacht.|Frappez vos ennemis avec une décharge de foudre infligeant des dégâts accrus et des dégâts de foudre.|Golpea a los monstruos con un choque de rayos que se divide hacia monstruos cercanos, infligiendo daño aumentado y daño de rayos aditivo.|Uderz potwory szokiem błyskawicy który rozwidla się w kierunku pobliskich potworów zadając zwiększone obrażenia i addytywne obrażenia błyskawic.
talent_desc_thunderShield|Cast a shield of thunder reducing damage taken and shocking monsters attacking you dealing lightning damage.|Cast a shield of thunder reducing magic damage taken and shocking monsters attacking you dealing lightning damage.|Lança um escudo de trovão, reduzindo Dano Recebido e eletrocutando os inimigos que o atacam causando Dano de Relâmpago.| Наложите щит грома, уменьшающий получаемый магический урон и поражающий монстров, атакующих вас, электрическим током, нанося урон молнией.|施展一道雷霆護盾，減少受到的傷害，並感電攻擊你的怪物並造成雷電傷害. |雷の盾を展開し、魔法ダメージを軽減し、攻撃してくるモンスターに雷ダメージを与えて感電させる。|천둥의 방패를 시전하여 마법 데미지를 감소시키고, 당신을 공격하는 몬스터들에게 번개 데미지를 입힙니다. |Erschaffe einen Donnerschild, der den erlittenen Magieschaden reduziert und angreifende Monster schockt und Blitzschaden verursacht.|Créez un bouclier de tonnerre qui inflige des dégâts de foudre aux ennemis qui vous attaquent.|Invoca un escudo de trueno que reduce el daño mágico recibido y electrocuta a los monstruos que te atacan infligiendo daño de rayos.|Rzuć tarczę pioruna zmniejszającą otrzymywane obrażenia magiczne i porażającą potwory które cię atakują zadając obrażenia błyskawic.
talent_desc_lightningFury|Strike monsters with increased attack damage causing lightning to chain between them dealing lightning damage.|Strike monsters with increased attack damage causing lightning to chain between them dealing lightning damage.|Atinja os inimigos com Dano de Ataque aumentado, fazendo com que raios se encadeiem entre eles, causando Dano de Relâmpago.| Атакуйте монстров увеличенным уроном, заставляя их поражать друг друга цепочкой молний, нанося урон молнией.|以增幅的攻擊傷害攻擊怪物,導致閃電在怪物之間形成連鎖,造成閃電傷害. |攻撃ダメージが増加した雷撃でモンスターを打ち、雷が連鎖して雷ダメージを与える。|증가된 공격 데미지로 몬스터를 가격하여 번개가 그들 사이를 체인처럼 연결되며 번개 데미지를 입힙니다.|Triff Monster mit erhöhtem Angriffsschaden, wodurch Blitze zwischen ihnen überspringen und Blitzschaden verursachen.|Frappez les ennemis avec une attaque furieuse libérant une chaîne d'éclairs.|Golpea a los monstruos con daño de ataque aumentado haciendo que los rayos encadenen entre ellos infligiendo daño de rayos.|Uderz potwory ze zwiększonymi obrażeniami ataku powodując że błyskawica łańcuchuje między nimi zadając obrażenia błyskawic.
talent_desc_holyShockAura|When active shock monsters around you dealing lightning damage.|When active shock monsters around you dealing lightning damage.|Quando ativa, eletrocuta inimigos ao seu redor com Dano de Relâmpago.| При активации поражает монстров вокруг себя током, нанося урон молнией.|啟動後, 衝擊周圍的怪物造閃電傷害.|発動中、周囲のモンスターに雷ダメージを与えて感電させる。|활성화 시, 주변의 몬스터들에게 번개 데미지를 입히며 충격을 가합니다.|Wenn aktiv, schockiere Monster in deiner Nähe und erleide Blitzschaden.|Lorsqu'elle est active, cette compétence inflige des dégâts de foudre aux ennemis qui vous entourent.|Cuando está activa, electrocuta a los monstruos a tu alrededor infligiendo daño de rayos.|Gdy aktywna porażaj potwory wokół siebie zadając obrażenia błyskawic.
talent_desc_divineStorm|Turn your attack into a divine storm dealing area of effect lightning damage around you.|Turn your attack into a divine storm dealing area of effect lightning damage around you.|Transforme seu ataque em uma Tempestade Divina que causa Dano de Relâmpago em uma área ao seu redor.| Превратите свою атаку в божественный шторм, наносящий урон молнией по области вокруг вас.|將你的攻擊轉化為神聖風暴，在你周圍造成閃電傷害. |攻撃を神聖な嵐に変え、周囲に範囲の雷ダメージを与える。|당신의 공격을 신성한 폭풍으로 바꾸어 주변의 몬스터들에게 범위 내 번개 데미지를 입힙니다.|Verwandle deinen Angriff in einen göttlichen Sturm, der Flächenschaden durch Blitze in deiner Umgebung verursacht.|Effectue une attaque électrique de zone qui inflige des dégâts de foudre aux ennemis autour de vous.|Convierte tu ataque en una tormenta divina que inflige daño de rayos en área a tu alrededor.|Zamień swój atak w boską burzę zadającą obrażenia obszarowe błyskawic wokół ciebie.
talent_desc_fanaticismAura|When active, increases your and your party members attack speed.|When active, increases your and your party members attack speed.|Quando ativa, aumenta sua Velocidade de Ataque e a dos membros do grupo.| Когда активен|啟動後，提高你和你的隊友的攻擊速度. |発動中、自分とパーティメンバーの攻撃速度を増加させる。|활성화 시, 당신과 파티원의 공격 속도를 증가시킵니다.|Aktiviert erhöht diese Fertigkeit deine Angriffsgeschwindigkeit und die deiner Gruppenmitglieder.|Lorsqu'elle est active, augmente votre vitesse d'attaque et celle des membres de votre groupe.|Cuando está activa, aumenta la velocidad de ataque tuya y de tu grupo.|Gdy aktywna zwiększa twoją i członków drużyny prędkość ataku.
talent_desc_ballLightning|Turn into a ball of lightning and dash towards to the target location, dealing lightning damage to nearby monsters upon landing.|Turn into a ball of lightning and dash towards to the target location exploding for lightning damage to nearby monsters upon landing.|Transforme-se em uma bola de que avança em direção do local-alvo, causando Dano de Relâmpago aos inimigos próximos ao aterrissar.| Превратитесь в шар молнии и устремитесь к указанному месту, приземлившись и нанося урон молнией ближайшим монстрам.|變成閃電球,衝向目標位置,落地時爆炸對附近的敵人造成閃電傷害. |雷の塊となり、ターゲット地点にダッシュして着地時に周囲のモンスターに雷ダメージを与えて爆発する。|번개 구체로 변하여 목표 위치로 돌진하고 착지 시 주변 몬스터들에게 번개 데미지를 입히며 폭발합니다.|Verwandle dich in einen Blitzball und stürme zum Zielort. Bei der Landung explodiert er und fügt nahen Monstern Blitzschaden zu.|Se transforme en une boule de foudre qui se déplace dans les airs jusqu'à l'endroit ciblé, infligeant des dégâts de zone aux ennemis proches lors de l'atterrissage.|Te conviertes en una bola de rayos y te lanzas hacia la ubicación objetivo explotando e infligiendo daño de rayos a los monstruos cercanos al aterrizar.|Zamień się w kulę błyskawicy i skocz w kierunku miejsca celu eksplodując obrażeniami błyskawic pobliskim potworom przy lądowaniu.
