[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
stat_buff_aura_range|Increased Buffing Aura Range||Alcance de Auras de Buff Aumentado|Радиус усиливающих аур повышен|增益光環範圍增加|バフオーラの範囲が拡大|버프 오라 범위 증가|Erhöhte Reichweite von Buff-Auren|Portée des auras de soutien augmentée|Aumento del alcance de las auras potenciadoras|Zwiększony zasięg buffujących aur
stat_crushing_blow_stack|to Maximum Crushing Blow Stacks||Máximo de Acúmulos de Golpe Esmagador|Максимум зарядов сокрушительного удара|最大壓碎打擊層數|クラッシングブローの最大スタック数まで|최대 강타 중첩|zu maximalen Stapeln von Zerschmetternder Schlag|Nombre maximal de cumuls de Coup écrasant|Acumulación máxima de Golpe aplastante|do maksymalnej liczby stacków miażdżącego ciosu
stat_life_after_block_chance|Chance to replenish life when blocking||Chance de Recuperar Vida ao Bloquear|Шанс восстановить жизнь при блоке|格擋時有機率回復生命|ブロック時にライフを回復する確率|방어 시 생명력 회복 확률 증가|Chance, Leben beim Blocken wiederherzustellen|Chance de récupérer de la vie en bloquant|Probabilidad de recuperar vida al bloquear|Szansa na odnawianie życia przy blokowaniu
stat_life_after_block_value|Life replenished when Blocking||Vida Recuperada ao Bloquear|Жизнь восстанавливается при блоке|格擋時回復生命|ブロック時にライフが回復|방어 시 생명력 회복|Leben beim Blocken wiederhergestellt|Vie récupérée en bloquant|Vida recuperada al bloquear|Życie uzupełnione przy blokowaniu
stat_orbit_duration|Increased Orbital Projectile Duration||Duração de Projéteis Orbitais Aumentada|Длительность орбитальных снарядов повышена|環繞投射物持續時間增加|オービタルプロジェクタイルの持続時間が拡大|궤도 투사체 지속 시간 증가|Erhöhte Dauer von Orbitalprojektilen|Durée des projectiles orbitaux augmentée|Duración de proyectiles orbitales aumentada|Zwiększony czas trwania orbitalnych pocisków
stat_orbit_damage_p|Increased Orbital Projectile Damage||Dano de Projéteis Orbitais Aumentado|Урон от орбитальных снарядов повышен|環繞投射物傷害增加|オービタルプロジェクタイルのダメージが拡大|궤도 투사체 피해량 증가|Erhöhter Schaden von Orbitalprojektilen|Dégâts des projectiles orbitaux augmentés|Daño de proyectiles orbitales aumentado|Zwiększone obrażenia orbitalnych pocisków
stat_aoe_size|Area of Effect Skill Radius increased by||Raio de Habilidades de Área Aumentado|Радиус навыков по площади повышен|範圍效果技能的半徑增加|範囲攻撃スキルの半径が拡大|범위 스킬 반경 증가|Radius von Flächen-Fertigkeiten erhöht um|Rayon d'effet des compétences de zone augmenté|Radio de habilidades de área de efecto aumentado en|Promień umiejętności obszarowych zwiększony o
stat_aoe_damage|Area of Effect Skill Damage increased by||Dano de Habilidades de Área Aumentado|Урон от навыков по площади повышен|範圍效果技能傷害增加|範囲攻撃スキルのダメージが拡大|범위 스킬 피해량 증가|Schaden von Flächen-Fertigkeiten erhöht um|Dégâts des compétences de zone augmentés|Daño de habilidades de área de efecto aumentado en|Obrażenia umiejętności obszarowych zwiększone o
stat_melee_skills|to Melee Skills||Habilidades de Combate Corpo a Corpo|Навыки ближнего боя|近戰技能|近接スキルへ|근접 스킬|zu Nahkampf-Fertigkeiten|aux compétences de mêlée|Habilidades cuerpo a cuerpo|do umiejętności melee
stat_ranged_skills|to Ranged Skills||Habilidades de Longo Alcance|Навыки дальнего боя|遠程技能|遠距離スキルへ|원거리 스킬|zu Fernkampf-Fertigkeiten|aux compétences à distance|Habilidades a distancia|do umiejętności dystansowych
stat_orbit_skills|to Orbital Skills||Habilidades Orbitais|Орбитальные навыки|環繞技能|オービタルスキルへ|궤도 스킬|zu Orbital-Fertigkeiten|aux compétences orbitales|Habilidades orbitales|do umiejętności orbitalnych
stat_aoe_skills|to Area of Effect Skills||Habilidades de Área|Навыки по площади|範圍效果技能|範囲攻撃スキルへ|범위 스킬|zu Flächen-Fertigkeiten|aux compétences de zone|Habilidades de área de efecto|do umiejętności obszarowych
stat_projectile_skills|to Projectile Skills||Habilidades de Projéteis|Навыки снарядов|投射物技能|投射スキルへ |투사체 스킬 |zu Projektil-Fertigkeiten|aux compétences de projectiles |Habilidades de proyectiles |do umiejętności pociskowych
stat_self_strike_chance|Chance to inflict damage to self when attacking||Chance de Causar Dano a Si Mesmo ao Atacar|Шанс нанести себе урон при атаке|攻擊時有機率對自己造成傷害|攻撃時に自身にダメージを与える可能性|공격 시 자신에게 피해를 입힐 확률|Chance, sich beim Angreifen selbst Schaden zuzufügen|Chance de s'infliger des dégâts en attaquant|Probabilidad de infligirse daño a uno mismo al atacar|Szansa na zadawanie sobie obrażeń przy atakowaniu
stat_self_strike_damage|Self inflicted damage from attacking||Dano Causado a Si Mesmo ao Atacar|Урон, наносимый себе при атаке|攻擊時對自己造成的傷害|攻撃による自身へのダメージ|공격으로 인한 자해 피해|Selbstverursachter Schaden durch Angriffe|Dégâts auto-infligés lors d'une attaque|Daño autoinfligido al atacar|Obrażenia samozadane przy atakowaniu
stat_damage_taken_over_01|of Incoming Damage is taken over||Parte do Dano Recebido é Sofrida em|Полученный урон распределяется на|受到的傷害在|受けるダメージの一定割合が|받는 피해가 자신에게 귀속됨|des eingehenden Schadens wird über|Dégâts subis pendant|Daño recibido durante|Część przychodzących obrażeń jest przyjmowana przez
stat_damage_taken_over_02|Seconds||Segundos|секунд|秒內承受|秒|초|Sekunden hinweg erlitten|Secondes|Segundos|Sekundy
stat_self_strike_cast_chance|Chance to inflict damage to self when casting||Chance de Causar Dano a Si Mesmo ao Conjurar|Шанс нанести себе урон при чтении заклинания|施法時有機率對自己造成傷害|詠唱時に自身にダメージを与える可能性|시전 시 자신에게 피해를 입힐 확률|Chance, sich beim Wirken von Zaubern selbst Schaden zuzufügen|Chance de s'infliger des dégâts en lançant un sort|Probabilidad de infligirse daño a uno mismo al lanzar|Szansa na zadawanie sobie obrażeń przy rzucaniu
stat_self_strike_cast_damage|Self inflicted damage from casting||Dano Causado a Si Mesmo ao Conjurar|Урон, наносимый себе при чтении заклинания|施法時對自己造成的傷害|詠唱による自身へのダメージ |시전으로 인한 자해 피해 |Selbstverursachter Schaden durch Zauber|Dégâts auto-infligés lors du lancement d'un sort |Daño autoinfligido al lanzar |Obrażenia samozadane przy rzucaniu
stats_min_damage|to Minimum Weapon Damage||Dano Mínimo da Arma|Минимальный урон оружия|最小武器傷害|最小武器ダメージへ|최소 무기 공격력 증가|auf minimalen Waffenschaden|Dégâts minimums des armes|Daño mínimo del arma|do minimalnych obrażeń broni
stats_min_damage_p|Minimum Weapon Damage Increased by||Dano Mínimo da Arma Aumentado|Минимальный урон оружия повышен|最小武器傷害增加|最小武器ダメージが増加|최소 무기 공격력 증가|Minimale Waffenschaden erhöht um|Dégâts minimums des armes augmentés de|Daño mínimo del arma aumentado en|Minimalne obrażenia broni zwiększone o
stats_max_damage|to Maximum Weapon Damage||Dano Máximo da Arma|Максимальный урон оружия|最大武器傷害|最大武器ダメージへ|최대 무기 공격력 증가|auf maximalen Waffenschaden|Dégâts maximums des armes|Daño máximo del arma|do maksymalnych obrażeń broni
stats_max_damage_p|Maximum Weapon Damage Increased by||Dano Máximo da Arma Aumentado|Максимальный урон оружия повышен|最大武器傷害增加|最大武器ダメージが増加 |최대 무기 공격력 증가 |Maximaler Waffenschaden erhöht um|Dégâts maximums des armes augmentés de |Daño máximo del arma aumentado en |Maksymalne obrażenia broni zwiększone o
stat_mspeed_convert_damage|of Movement Speed Converted to Total Damage Dealt||da Velocidade de Movimento Convertida em Dano Total Causado |Скорость передвижения, преобразованная в общий нанесенный урон |移動速度轉化為總傷害 |移動速度を総ダメージ量に換算したもの |이동 속도를 총 피해량으로 변환 |von Bewegungsgeschwindigkeit in Gesamtschaden umgerechnet|de la vitesse de déplacement convertie en dégâts totaux infligés |de Velocidad de movimiento convertida en daño total infligido |Część prędkości ruchu konwertowana na całkowite zadawane obrażenia
stat_spell_suppress|Chance to suppress incoming spell hits||Chance de suprimir acertos de feitiços recebidos |Шанс подавить входящие удары заклинаний|壓抑法術傷害的機率|被弾した呪文を抑制する確率 |받는 스펠 공격을 억제할 확률|Chance, eingehende Zaubertreffer zu unterdrücken |Chance d'annuler les coups de sorts entrants |Probabilidad de suprimir hechizos recibidos|Szansa na stłumienie nadchodzących trafień zaklęciami
stat_codex_greed|Amount of Gold dropped from monsters increased by|Monstereista pudonneen kullan määrä kasvoi|Quantidade de Ouro Obtido de Monstros Aumentada|Количество золота, выпадающего с монстров, повышено|怪物掉落金幣數量增加|モンスターからドロップするゴールドの量が増加しました|몬스터에게서 떨어지는 골드 양 증가|Menge des von Monstern fallengelassenen Goldes erhöht um|Quantité d'or lâchée par les monstres augmentée de|Cantidad de Oro Obtenido de Monstruos Aumentada en|Ilość złota z potworów zwiększona o
stat_codex_gluttony|Experience Gain increased by|Kokemus lisääntyi|Ganho de Experiência Aumentado|Получение опыта повышено|經驗值增加|経験値獲得量が増加しました|경험치 획득량 증가|Erfahrungsgewinn erhöht um|Gain d'expérience augmenté de|Ganancia de Experiencia Aumentada en|Zdobywanie doświadczenia zwiększone o
